LE,gammaE,LA,LS,w
46.73626958635481,0.3878958605813418,27.960504889523463,188.38196720639098,0.705897537025189
43.66594130694962,0.37271146161278507,29.10587981654271,198.62947821878376,0.7069407604340258
37.045780321637956,0.38124619857702957,30.86036716738907,190.1322103144017,0.5525250215582778
28.3209978947663,0.38938462666286694,34.10645832497322,196.55810818916433,0.6740048942052315
29.72194290202715,0.41803894374134376,33.47495729474649,217.7858193327381,0.517291453714295
31.504589986191156,0.4259691193578572,28.415190310586464,265.63254989196224,0.6180597356941105
30.552239310280136,0.42159241175763407,27.677111856713214,231.4381626539172,0.5774232718789842
28.758199862072452,0.3845393691698287,40.58563936727811,240.82801233530452,0.6419949043737969
30.37763259577053,0.4340628019491743,41.114451768908744,226.3661570897987,0.6107932417084562
29.071945224164306,0.4185636361982825,41.60328116650933,193.76757214792116,0.6467437162229324
25.891923503225325,0.42157699973119156,39.837816627333304,226.99031427516547,0.6042530313861676
31.80885826013187,0.41105666751494635,35.393715064478,195.50717316180052,0.6584790342528556
29.97195213380199,0.3763855134085248,25.247838477361764,469.34989239845305,0.3951939819198897
32.02531208223727,0.38586075764998046,27.98351244419434,425.61929543859844,0.4073458227124448
31.698573324191322,0.3805162825265656,30.440421563854848,351.0131033905372,0.5134194618679411
30.18094116861095,0.3876318298726774,35.427715895308516,339.2217628034696,0.5885467107128793
26.721691355105992,0.4379408695713298,30.635594602773,207.9760768000113,0.5587289003129957
29.32316544657485,0.3885235420802815,31.17225599324505,324.8294635276505,0.6015664097267269
44.50204722502445,0.3982202428711542,34.24611281374738,194.69931837704505,0.6307918948750427
36.25056022538937,0.32870218226227405,22.932003668580254,345.67127779945264,0.5546703011172802
39.0346322858876,0.33772087635468345,23.50180248793325,316.92651283762876,0.5396980362835435
39.45330182513848,0.356656637897503,31.87787663171828,283.9579484256468,0.6031800694143724
40.25293883209943,0.37033166704238196,31.06273601978619,239.71730327791144,0.56980730090718
35.99489864758922,0.3411764018652164,34.22165376245833,193.24345621714153,0.6143464366239728
39.765827520845264,0.38064776978225245,32.94121459241378,259.53087563159477,0.6172727172866103
29.909629263791714,0.3903601315721845,28.34503197917117,248.11745645253538,0.5506958151257926
28.181215268247776,0.38938366335910113,37.272978982076026,307.658753645753,0.506052343544959
33.01710772788548,0.3917090877672478,28.30303923503386,334.6567708258039,0.5168561640839456
31.565036580407043,0.38702742330520407,24.501816793662844,317.42622531146606,0.4972209463934353
31.0304041240251,0.38392153314315,29.360650577085604,298.9538266224018,0.5107279182740542
30.25125808903577,0.38629553012276346,32.017404966338184,368.4569323444199,0.5419832818859778
38.018481621168064,0.36728254498717466,23.258828215035958,332.3216081955346,0.4494535270755065
23.56153419440443,0.4007084193713372,31.281190020571874,351.08695049700765,0.4783343382621025
38.78326680812506,0.3875082922868455,31.211413519593034,339.52943442378336,0.49640825301501035
28.77723890673058,0.3842643494659682,35.726554192535325,307.19046850521875,0.5239027142753119
34.428258492847796,0.3992541819104777,37.81490021694204,337.9782744888208,0.5508779120752602
24.731920517444163,0.4006092720543541,39.8532485604975,347.4075426173255,0.4261504085262063
31.825775359032523,0.376531767890569,39.0545315943514,255.6855378702141,0.5551910361169522
35.588972765222294,0.40337620400610835,38.59723213086823,219.60938815921344,0.6445904261258462
34.72975907731012,0.3704838811350084,23.632161083128832,324.3114478079707,0.6323072019547464
31.78691187505121,0.39677498050861554,41.14790139631537,301.07807430228627,0.6011720972683715
36.35454129982298,0.4044124669743251,35.89427202273285,209.57796382953867,0.5697348636817218
41.89399575850462,0.31557505622875265,29.129690441340532,259.8063592200696,0.591589527136125
41.38576038699418,0.3129717088975459,29.582839833645547,247.8538411537569,0.592389868114855
38.954641140020826,0.3921791627441156,29.03645857649675,219.91290442156813,0.6741886479693674
26.217371562283162,0.40871494830436034,33.868566298642705,388.86681197954744,0.5479795066033778
28.811092087805502,0.41635209383193833,28.094017277172732,234.14860810847915,0.5062488474377401
27.21282075617529,0.41299113744135413,31.72834402448216,270.91648410496884,0.5800597936996104
28.24596133822138,0.43002361051817656,35.70197459049666,248.50080669682524,0.6093310482159067
31.40332202472525,0.4121178646318656,38.10967925542984,248.59577300723112,0.6325434927976779
31.416966880813455,0.38680750150760457,27.28979739460296,524.7725636715949,0.42757578191832607
29.639357158836543,0.37771108357970884,28.434971673196124,511.49902393254445,0.40518590173126273
30.01911304098382,0.3983141551596675,25.710909504467548,661.579130741899,0.4251524575090897
